english,twi
adamant,twann
adamsapple,menemu pɔ
iamhungry,ɛkɔm de me
iamlost,mayera
active,deɛ ɔkeka ne ho
acquire,tɔ
acquisition,adenya
acquit,sane obi ti
act,di dwuma
acting,ɔyɛkyerɛ
action,dwumadie
iamhappy,m ani agye
iamsad,me werɛ aho
iamangry,me bo afu
yard,adihɔ hɔ
acid,asede
acme,mpɛmpɛnso kɛseɛ
yaws,gyatɔ
yarn,asaawa
acolyte,nipa titire kyidifoɔ
yea,aane
ye,mo
acquaintance,deɛ woahyia no pɛn nso wonnim no papa
xenophobic,deɛ ɔtan aman foforɔ so foɔ
accuser,deɛ wɔabɔ soboɔ
ace,deɛ wakwadare biribi pɔtee yɛ
ache,yɛ ya
yacht,hyɛmma
yank,twe prɛko pɛ
achieve,nya
yankee,amɛrikani
affluent,osikani
afford,tumi tua ka
affordable,ɛyɛ fo
aglow,ɛhyerɛn
agitate,ma obi yɛ basaa
aids,babaso werɛmfoɔ
ago,atwam
aged,akɔkora
ail,ha
ailment,yareɛ
alms,akyɛdeɛ a wɔde ma ahiafoɔ
among,ka ho
alarm,bɔ hu
amongst,ka ho
amount,dodoɔ
anal,turumu
anything,biribiara
anxiety,adwenemuhaw
anytime,berɛ biara
anywhere,baabiara
any,biara
anybody,obiara
anyhow,biarabiara
anymore,biom
anyone,obiara
anyplace,baabiara
annul,twa mu
anoint,sra ngo
anointed,deɛ wɔasra no ngo
anointing,ngosra
anomalous,da nso
antagonist,ɔtamfo
antagonism,ɔtan
antenatal,apemfoɔ ayarehwɛ
anthill,esie
anticipate,hwɛ anim
angel,ɔbɔfoɔ
analogous,ɛsɛ
anarchy,basabasayɔ
analogy,mfatoho
ancestor,nananom nsamanfoɔ
ancient,tete
anatomy,nipadua
animal,aboa
anew,foforɔ
anniversary,afeda
annoying,ɛhyɛ abufuo
angry,bo afu
angrily,abufuo so
anguish,ɛyeaa
animosity,ɔtan
announce,ka no badwam
annoy,hyɛ abufuo
announcement,nkaebɔ
anaemia,mogyahwereɛ
annual,ɛsi afe afe
amour,esum ase dɔ
amputate,twa nsa firi hɔ
amputee,deɛ wɔatwa ne nsa
amulet,bansere
amen,ɛnyɛ hɔ
amuse,hyɛ sereɛ
amusement,anigyeɛ
ambassador,ɔman ananmusini wɔ ɔman foforɔ so
ambition,botaeɛ
ambulance,ayarefoɔ hyɛn kaa
ambush,to hyɛ so
ameliorate,siesie
alcohol,nsa
amend,sesa
amendment,nsesaeɛ
ammunition,atuo aboba
amnesty,bɔnefakyɛ
albino,ofiri
album,mfonin nwoma
albumen,kosua mu fitaa
also,nso
alcoholism,nsaborɔ
alcoholic,nsadweam
alert,ani da hɔ
alien,ɔhɔhoɔ
alight,ɛredɛre
alone,nko ara
altar,afɔrepono
alter,sesa mu
altitude,ahunum
altogether,korakora
aluminium,senya
always,berɛ biara
amaze,ma ɛyɛ nwanwa
amazing,ɛyɛ nwanwa
air,mframa
aimless,deɛ ɔnni botaeɛ biara
airport,wiemhyɛn gyinabea
airraid,wiemhyɛn topaeɛtoɔ
ugly,tan
airstrip,wiemhyɛn tubea
ajar,da mpan
akimbo,de nsa asɔ sisie
akin,ɛsɛ
alacrity,ntɛm so
aim,gyene
udder,nufoɔ
alive,te ase
all,nyinaa
ulterior,deɛ wode atɛ
allah,onyankopɔn din wɔ kramosom mu
allay,dwodwo
alleviate,dwodwo
alley,ɛkwan a ɛda adan ntam
alliance,apam
allocate,kyɛ ma
allow,ma ho kwan
umbrella2,kyiniiɛ
almamater,sukuu a obi kɔeɛ
almighty,okokuroko
almost,aka kumaa bi
agony,ɛyeaa
agrarian,deɛ ɛfa kuadwuma ho
agreement,nteaseɛ
agriculture,kuadwuma
aid,boa
ahead,kan
aide,ɔboafoɔ
agency,nkorabata
agenda,tirimupɔ
agent,nanmusini
aggravate,ma ɛnsɛe koraa
aggression,ntohyɛsoɔ
aggressive,deɛ ne koko nyɛ
aggressor,ɔtoafoɔ
agile,hare
aggrieved,bo afu
afresh,bio
africa,abibirem
african,obibini
age,mfeɛ
after,akyi
aftereffect,akyiri nsunsuansoɔ
aftermath,akyiri asɛm
against,tia
afterwards,akyire
agape,ahodwiri anobue
afraid,suro
affray,abɔnten ntɔkwa dennen
affront,hyɛ abufuo
afire,ogya da mu
aflame,ogya da mu
aforementioned,deɛ wɔabɔ soɔ dada
afloat,tɛ nsuo ani
affair,dwumadie pɔtee bi
affect,nya obi so tumi
affliction,ateetee
affection,ɔdɔ
affiliate,fam ho
affinity,ɔdɔ
affirm,pae mu ka
affix,de tare ho
afflict,teetee
affluence,asetena pa
appease,dwodwo
appropriate,ɛfata
arithmetic,nkonta
approve,pene so
ass,afunumu pɔnkɔ
ascertain,hwehwɛ mu
armament,akodeɛ
ashore,ɛpo ano
ashamed,ani awu
attract,twetwe
prosecute,bɔ kwaadu
autonomy,ahofadie
awe,anidie
axiom,nokwasɛm
azure,bibire
bale,nnoɔma a wɔahyɛ no kuntann
backlog,deɛ aka akyire
bacon,prakontwerɛ
bacteria,mmoawammoawa nketenkete a wɔde yareɛ brɛ nnipa
baffle,yɛ nwanwa
baggage,akwantu nnoɔma
bail,beeli
bake2,to
bait,nnaadaa aduane a wɔde to darewa
balcony,abranaa so
bald,tipa
bank,sikakorabea
bankrupt,deɛ ɔntumi ntua ne ka
banner,ahyɛnsodeɛ frankaa
baptize,bɔ asu
barber,tiyifoɔ
baptism,asubɔ
bare,kwaterekwa
bargain,di ano
barracks,asraafoɔ atenaeɛ
basic,abɔaseɛ
barrel,ankorɛ
barricade,pampim
barrier,ɛban
barrister,mmaranimfoɔ
ball,bɔɔlo
barter,fa yei bɛgye yei dwadie
base,nnyinasoɔ
bastard,adwaman ba
batch,ekuo
battle,ɔko
bauxite,apiaboɔ
balloon,baaluu
bamboo,pampuro
ballot,kokoam abatoɔ
ban,bra
bandit,ɔkwammukani
bangle,abakɔn kawa
bang,ka hwe mu
banish,twa asu
babble,toto paapae so
babysitter,deɛ ɔgygye obi ba
baboon,okontromfi
backbite,di nsekuro
backbiting,nsekuro
background,nnyinasoɔ
backing,akyidɔm
award,bɔ aba so
autopsy,owuo kɔfabae nhwehwɛmu
avenge,tua bɔne so ka
away,nohoaa
average,adantam
avenue,atempɔn
aviary,nnomaakorabea
authority,tumi
avoid,twe ho firi
aware,nim
audition,agodifoɔ yɛ ma yɛnhwɛ dwumadie
automobile,kaa
authentic,ɛdi mu
auditorium,bɛhwɛadefoɔ tenabea
author,nwoma twerɛfoɔ
autocracy,ɔhyɛ amammuo
autobiography,abakɔsɛm a obi atwerɛ ato hɔ afa ɔno ara ho
autocrat,deɛ ɔde ɔhyɛ bu man
autograph,nipa titire adansedie atwerɛdeɛ
attractive,ɛho twa
attribute,de soboɔ bɔ
auction,badwam adetɔn
auctioneer,badwam adetɔn sikagyefoɔ
audible,deɛ yɛtumi teɛ
audacious,ɔkokoɔdurofoɔ
audience,atiefoɔ
audit,adwumakuo bi sikasɛm nhwehwɛmu
attitude,su
unanimous,bɛnkorɔ mu
attain,nya
attempt,sɔ hwɛ
attend,kɔ
attendance,baabikorɔ
attenuate,brɛ ase
attest,di ho adanseɛ
attorney,mmaranimfoɔ
prosecutor,kwaadubɔni
assist,boa
assistance,mmoa
assistant,ɔboafoɔ
associate,de bata ho
assorted,asɔɔtoo
assuage,dwodwo ano
assumption,nsusuiɛ
assume,fa no sɛ
astonish,ma ahodwiri
attack,to hyɛ so
astray,fom kwan
astride,apɔnkɔnan gyinaeɛ
astute,ɔbenfo
asunder,ntemu
asylum,dwanekɔbea
attach,de tare ho
atmosphere,ahunum
umpire,otemmuafoɔ
unaccountable,deɛ wɔntumi nkan
unalloyed,deɛ wɔmfraa mu
assassin,owudifoɔ
assassinate,kum nipa titire
assign,ma diberɛ
assent,pene so
arrogant,ɔhomasoni
arrange,hyehyɛ
assemble,boaboa ano
asset,ahodeɛ
army,asraafoɔ
aroma,hwam
arduous,yɛ den
artisan,nsaanodwumani
articulate,kasa fenenkyem
ascend,foro
arabic,kramo kasa
ascension,sorokɔ
archaic,tetedeɛ
archangel,ɔbɔfopanin
arguable,akyinnyeɛ wɔ ho
argue,gye akyinnyeɛ
argument,akyinnyegyeɛ
arise,sɔre
applaud,bɔ nsam
appellation,abɔdin
apple,aprɛ
appoint,yi
apportion,kyekyɛ mu ma
appreciation,anisɔ
apprehend,kyere
apprentice,adwumasuani
approach,bɛn ho
apart,emu twe
apex,ɛsoro pa ara
apartment,adankora
apocalypse,wiase awieeɛ
apology,akyɛwpa
appeal,srɛ
apologise,pa kyɛw
apparel,afadeɛ
appal,ma ahodwiri
apparent,emu da hɔ
best,deɛ ɛyɛ pa ara
bawl,tea mu denneennen
be,yɛ
bequeath,gya ma
beneficiary,ɔdedifoɔ
bliss,anigyeɛ soronko
benefit,mfasoɔ
bereave,hwere ɔdɔfoɔ
beware,nya ahwɛyie
biography,obi ho abakɔsɛm a ɔfoforɔ atwerɛ
birth,awoɔ
blister,mpumpunya
bluff,dwa anom
bodyguard,ɔbanbɔfoɔ
blunder,mfomsoɔ
brand,su
bonus,nkuranhyɛ sika
branch,dubaa
brandish,nyam
brandnew,ɛmono kyeaw
bravado,akokoɔduro
bray,afunumu pɔnkɔ su
brawl,ntɔkwa gyegyegye
breach,mmarabuo
breadwinner,deɛ ɔyɛ adwuma hwɛ abusua
bow,bɔ mu ase
breakable,abobɔdeɛ
bounteous,deɛ ne yam yɛ
bouquet,nhwiren akyɛdeɛ
bout,mmere tiawa adeyɛ
book,nwoma
boutique,afadeɛ fɛɛfɛ sotɔɔ
boost,kanyan
bowel,ayamadeɛ
boycott,po
bracelet,adansa
brag,dwa anom
braille,anifirafoɔ nwoma
bookcase,nwoma korabea
bold,deɛ ne koko yɛ duru
bookworm,deɛ ɔpɛ akenkan
boot,mpaboa
booty,korɔnodeɛ
border,ɛhyeɛ so
bore,bɔne
borehole,abura
bony,ayiyi nkasɛɛ
bomb,topaeɛ
bombard,de atuo ne atopaeɛ to hyɛ kuro ɔman bi so
bombshell,mfomusɛm
bosom,ɔbaa kokom
boss,adwumampanin
bother,ha adwene
bond,mpokyerɛ
bonafide,fann
bonfire,ogyatanaa
bonny,deɛ ne ho yɛ fɛ
borrow,bɔ bosea
borstal,nkwadaabɔne nteteɛbea
botany,afifideɛ ho adesua
bottle,toa
bottom,aseɛ pɛɛ
bounce,pempem
boundary,ɛhyeɛ
blunt,ano awu
boast,dwa anom
blur,deɛ ɛyɛ wisiwisi
blush,fɛre
bluster,kasa gyegyegye
board,taaboo
boarder,osuani osukuuni a ɔda sukuu mu
boardinghouse,beaeɛ a wɔtua da hɔ
bloom,nhwiren fɛɛfɛ
bloat,hyɛ
bloodbank,mogya korabea
blockade,akwansideɛ
bloodshed,mogya hwieguo
bloodvessel,ntini
blow,bɔ
blade,yiwan
blouse,mmaa soro atadeɛ
blame,ɛfɔ
blind,deɛ n ani afira
blank,mpan
blare,yɛ dede
blaspheme,kasa tia onyankopɔn
blast,mframa tɛntɛ
blatant,deɛ ɛho da hɔ
blindfold,kata ani
blink,bɔ ani
birthday,awoda
birthmark,nsamanya
birthright,awonya
bisect,twa mu mmienu
biscuit,krakase
bit,ketewa bi
bishop,ɔsɔfopɔn
blacksmith,ɔtomfoɔ
beyond,nohoaa
bewitch,kyere nkabere
bias,ntɛnkyea
bid,ma boɔ
bible,twerɛ kronkron
betray,yi ma
betrayal,nyima
bigamy,mprenu awareɛ bɔne
biennial,deɛ ɛsi mfeɛ mmienu biara mu
bile,bɔnwono
bill,ɛka
bestseller,nwoma a wɔtɔ pa ara
bet,to nkyea
betrothed,deɛ wɔasi no asiwa
between,ntam
bevy,ekuo
beverage,anonneɛ
bewail,twa agyaadwoɔ
berserk,hatuhatu
berth,ɛhyɛn gyinabea
beseech,koto srɛ
beset,to hyɛ so
besiege,tu kuro bi so sa
bellicose,otutupɛfoɔ
besmirch,gu ho fi
belong,wɔ
belonging,ahodeɛ
below,aseɛ
belt,bɛlɛte
bead,ahwenneɛ
bemoan,su ho
belly,afuro
beauty,ahoɔfɛ
bend,koa
bench,akonnwa tenten
benediction,nhyirasɛm
beach,mpoano
beg,pa kyɛw
beak,ntakraboa ano
beggar,ɔdesrɛfoɔ
bean2,aboa kɛseɛ
ugliness,ahoɔtan
beckon,to nsa frɛ
bed,nnasoɔ
bedridden,deɛ waka mpa mu
behave,da nneyɛɛ pa adi
behead,twa tire
behind,akyire
behold,hwɛ
belch,keesu
belittle,bu abomfeaa
bell,adɔma
breakdown,ɔsɛeɛ
breakfast,anɔpa aduane
breathe,home
breastbone,nnompekyɛm
brewery,nsayɔbea
bribe,adamudeɛ
bricks,ntayaa
broker,konkosini
butt,de tiri pem
bronchitis,menemuyareɛ
brothel,agyantrafoɔfie
build,si
canoe,kodoɔ
bug,nkaboa
cabinet,adakawa a wɔde kora nneɛma
cache,akoraeɛ
campus,suapɔn mu
canker,nweweɛ
capable,deɛ ɔtumi yɛ biribi
capital,kuropɔn
cannibal,nipa a ɔwe nnipa nam
canopy,apata
cantankerous,mansotweni
cantata,nnwontoɔ agodie
canteen,adidibea
canvas,pere pɛ aba
candle,kyɛnere
can,tumi
canary,kanaafo
cane,mfea
canal,asuka
cancel,twa mu
candid,nokorɛ turodoo
candidate,dibeaperefoɔ
camera,kamɛra
candour,nokorɛdie
calendar,kalɛnda
calico,nnwera
calibre,nipaban
callous,deɛ ɔnni ahummɔborɔ
callow,deɛ ɔnnim hwee
camouflage,nkatasoɔ
camp,nsraban
campaign,ɔsatuo
camphor,kamfa
cackle,kwane
cafe,beaeɛ a wɔtɔn nnuane ne anonneɛ
cage,ebuo
cajole,daadaa
calabash,koraa
calamity,atoyerɛnkyɛm
bygone,deɛ atwam
calculate,sese
button,bɔton
calculation,akontabuo
buxom,ɔbaa a ne nufu soso
by,ho
byebye,baabae
byname,de obi biribi din
bylaw,mmara a mansini bi ahyehyɛ
byzantine,nwonworann
bush,nwura mu
cab,taksi
businesslike,deɛ n ani ku n adwuma ho
bursar,deɛ ɔhwɛ sikasɛm ntotoeɛ so wɔ sukuu suapɔn mu
burst,pae
butcher,nankwaseni
bury,sie
bus,bɔɔso
business,obi adwuma
busy,deɛ ɔnni adagyeɛ
busybody,deɛ ɔwurawura afoforɔ nsɛm mu
building,ɛdan
builder,ɔdansifoɔ
bulk,pii
bulge,deɛ apuo
bulky,kuntann
bullet,akoraboɔ
bulletin,kaseɛbɔ apɔsoapɔso
bullion,sikapoma
bullock,nantwinini a wɔasa no
bully,ohunahunafoɔ
bumper,mmorosoɔ
bumptious,deɛ ɔbɔ ɔno ara ne ho nsammrane
bunch,ekuo
bungalow,ɛdankora
burden,adesoa
burglar,ɔkorɔmfoɔ
burial,afunsie
burrow,ɛbɔn
brotherhood,onuadɔ
bruise,honam ani ntwitwiiɛ
brush,borɔɔso
brute,deɛ ɔnnwene nnipa ho
buckle,bɔgere
bring,fa bra
budget,sikasɛm ho ntotoeɛ
buffoon,ɔkwasea
brighten,hyerɛn
brilliant,deɛ ɛhyerɛn pa ara
brim,ano pɛɛ
brine,nkyene nsuo
brink,mpɔmpɔnsoɔ
broad,tɛtrɛtɛ
brisk,deɛ ne ho yɛ hare
broadcast,bɔ dawuro
broil,toto
bricklayer,ntayaagufoɔ
bridge,ɛtwene
breath,ahome
bridle,pɔnkɔ ti nkɔnsɔnkɔnsɔn
brief,tiawa
brigand,nwuramukafoɔ
briefcase,nwoma ne nkrataa kotokuo baage
bright,deɛ ɛyɛ hann
breed,yɛne
brew,noa nsa
brethren,anuanom akristofoɔ
breviary,mpaebɔ asɔre dwontoɔ nwoma
brevity,tiawa
cattle,anantwie
cargo,adwadeɛ kɛseɛ
capsize,butu
castigate,twi anim
catapult,taya
cataract,ɛtɛ
castle,abankɛseɛ
caution,ahwɛyie
casual,deɛ wɔyɛ no biara biara
clap,bɔ nsam
clock,ɛdɔn
cement,sɛmɛnte
chancellor,opanin
charlatan,ɔdaadaafoɔ
charm,deɛ ɛkyere adwene
cheque,sikayie tumi krataa
cheerful,deɛ ɔwɔ anigyeɛ mu
clinic,ayaresabea
club,aporibaa
clot,mogya a ada
clumsy,nwonworann
clue,akwankyerɛdeɛ
cluster,deɛ ɛbobɔ ho
coagulate,da
coach,deɛ ɔtete agodifoɔ
coal,bidie
clarify,kyerɛkyerɛ mu
clasp,fam
clash,bɔ mpunimpu
class,gyinapɛn
claw,bɔwerɛ
clear,emu da hɔ
clench,moa nsa
clever,deɛ waben
circumstance,deɛ nti
circumspect,ahwɛyie
climate,ewiem nsakraeɛ
circumvent,kwati
cistern,ankorɛ
civil,deɛ ɛfa kuromma ho
city,kuropɔn
civilian,ɔman ba a ɔnyɛ ɔsraani
claim,ka
clandestine,kokoam
clan,abusuakuo
chop,twitwa
chopmoney,akɔnhoma
christendom,akristofoɔ
christen,to din
chicken,akokɔ
chronic,koankorɔ
chronicle,nsɛm abakɔsɛm a wɔatwerɛ no nnidisoɔ nnidisoɔ
chunk,ɛfa kɛseɛ
church,asɔredan
childish,nkwadaasɛm
circulate,di aforosiane
circulation,aforosiane
cherish,ma ɛsom bo
chief,ɔhene
childhood,nkwadaaberɛm
choir,asɔre mu nnwontokuo
choke,hia
choose,pa
charter,anodisɛm
chaste,deɛ ɔmmɔ adwaman
chastise,twe aso
chat,twetwe nkɔmmɔ
chant,kankye
chauffeur,ankorɛankorɛ drɔbani
character,su
chauvinist,deɛ ɔdɔ ne man boro so
cheer,bɔ ose
check,ma ani di akyire
change,sesa
channel,nsuka
chapel,asɔredan
chaos,basabasayɔ
charcoal,bidie
charge,twa boɔ ma obi tua
charity,adɔeɛ
certificate,adansedie krataa
chaff,nwira
chain,nkɔnsɔnkɔnsɔn
chairman,otitenani
chairwoman,ɔbaa titenani
chamber,piam
chamberandhall,piam ne asa
chamberpot,kuruwaba
champion,ɔkandifoɔ
chance,deɛ ɛbɛtumi asi
cemetery,asieeɛ
cenotaph,nkaedum a wɔsi de kae nnipa a wɔawu wɔ kono
certain,wɔ mu ahotɔsoɔ
census,nnipakan
celebrate,gye ani
centenary,mfeha
centenarian,deɛ wadi mfeɛ ɔha
central,deɛ ɛdi akotene
ceramic,deɛ wɔde dɔteɛ anwene
ceremony,afahyɛ
celibate,deɛ ɔdi sigya na ɔnni mpa mu agorɔ
cave,ɔbodan
cease,gyae
celebration,ahurusibɔ
catch,kye
celebrated,deɛ wagye din
celibacy,sigyadie a ɔhyɛ nnim
carol,buronya dwom
cell,afiase dan ketewa bi
catarr,papu
catastrophe,atoyerɛnkyɛm
category,ekuo
cater,hwɛ
carnage,mogyahwieguo
carnival,afahyɛ
carpet,kapɛte
carpenter,dua dwomfoɔ
carton,adaka
cash,sika
cartoon,deɛ wɔadrɔɔ de yi aseresɛm
careful,ahwɛyie
cashier,deɛ ɔtua sika
captain,ɔsahene
captive,deɛ wɔakyere no dommum
captor,deɛ wakyere ɔfoforɔ dommum
carcass,efunu
care,tema
caress,miamia
card,kaade
caretaker,ɛdan so hwɛfoɔ
coalesce,ka bɔ mu
coalition,nkabom
coffee,kɔfe
coax,korɔkorɔ
college,sukuupɔn
collide,pem
colour,ahosuo
coma,nnahɔɔ
combat,ɔko
combatant,ɔkofoɔ
combine,ka bɔ mu
comfortable,deɛ ɛma asomdwoeɛ
compliance,nnyetom
comic,deɛ ɛma nnipa sere
comprehensive,deɛ emu dɔ
complicate,ma ɛyɛ nwonworann
conceive,fa afuro
concentrate,de adwene si biribi pɔtee so
concern,dadwene
conciliate,dwo akoma
concise,tiawa
conclude,wie
conclusion,ne korakora
concord,asomdwoeɛ nhyehyɛeɛ
concoct,bɔ srɛ mu ka
condemn,kasa tia
condition,tebea
condole,ma yaakɔ
condolence,ogyam
conduct,nneyɔ
condone,bu ani gu bɔneyɔ so
confectionery,adɔkɔdɔkɔdeɛ
conference,nhyiamu
compromise,nteaseɛ
confer,ma abɔdin
confession,bɔneka
confess,pae mu ka bɔne
compress,mia
compulsory,deɛ ɛyɛ ɔhyɛ
compute,sese
comrade,ɔyɔnkoɔ
con,bu
conceal,sie
compose,twerɛ dwom
concede,gye tom
conceited,deɛ ɔgye ne ho di
complicity,bɔneboa
compilation,deɛ wɔaboa ano
compliment,nkamfoɔ
complain,kwane
component,ɔfa bi
composite,deɛ nneɛma ahodoɔ ka bom yɔ
comprehend,te aseɛ
compound,adihɔ hɔ
comprehension,nteaseɛ
complacent,deɛ ne tirim yɛ no dɛ
complacency,atirimuɔdɛ
complaint,soboɔ
complainant,deɛ ɔbɔ soboɔ
complete,wie
complex,deɛ nwonworann
complexion,honam ahosuo
comply,di so
company,adwumakuo
compare,de toto ho
compassion,ahummɔborɔ
compassionate,deɛ ɔwɔ ahummɔborɔ
compete,si akan
compatriot,ɔman ba
compel,hyɛ
compatible,deɛ ɛfa
competition,akansie
communicate,di nkutaho
compile,boa ano
commiserate,hu mmɔbɔ
commit,yɛ bɔne
community,mpɔtam
companion,ɔhokafoɔ
command,ɔhyɛ
committee,agyinatukuo
commodity,adwadeɛ
commotion,basabasayɔ
common,deɛ abu soɔ
comment,ka ho asɛm
commute,di akɔneaba
commando,asraafoɔ a wɔtu sa
commemorate,hyɛ fa
commemoration,nkaeɛ
commence,firi aseɛ
commend,yi ayɛ
commerce,dwadie
combination,nkabom
comedian,deɛ ɔyi aseresɛm
comfort,kyekye werɛ
coffin,efunu adaka
colleague,afɛ
cobra,oprammire
coincide,hyia mu
colic,ayamhyɛ
cola,bese
collaborate,yɛ adwuma bɔ mu
collapse,twa hwe
collapsible,deɛ wɔtumi bobɔ
collect,boaboa ano
cobweb,ntontan
cocaine,adubɔne
cockpit,wiemhyɛn drɔba atenaeɛ
cocoa,kookoo
code,mmara
coerce,hyɛ
confident,deɛ ɔgye ne ho di
confidence,akokoɔduro
confide,de werɛ hyɛ obi mu
congest,hyɛ ɛdɔm boro so
congestion,dɔmpemmɔ mu ahokyerɛ
congested,deɛ ayɛ hwanyann
conserve,kora
conscience,tibua
conquer,di so
consider,dwene ho
constitution,ɔmammara
contain,kora
container,ankorɛ
contribute,to boa
contribution,ntoboa
contrition,ahonu
control,tumi
core,mimfini
cooper,ankorɛyɛfoɔ
copy,sɛso
copra,kubedwe a awoɔ
cordial,deɛ ɔpɛ nnipa
cork,nsatire
corn,aburoo
cook,noa
cob,aburodua
cool,dwo
corner,ahyiaeɛ so
cornet,abɛn
convocation,nhyiamu kɛseɛ
convenient,deɛ ɛfata
convulse,woso
convoy,yidɔm
coop,mmoa buo
cooperate,di nsawɔsoɔ
cop,opolisini
copper,kɔbere
coppersmith,kɔbere dwomfoɔ
convent,ahotefoɔ fie
convey,soa kɔ
converge,hyia mu
conversant,deɛ ɔwɔ biribi ho nimdeɛ
conversation,nkɔmmɔ
convict,bua fɔ
convert,sesa
conviction,gyedie
contusion,honam ani wɔtereeɛ
convince,ma obi hu biribi mu nokware
convalesce,gye ahome
continuation,ntoasoɔ
convalescence,ahosan berɛ
convention,nhyiamu
controversy,ntawantawa
convene,hyia mu
contradict,bɔ abira
contents,deɛ ɛwɔ mu
contest,akansie
continent,asasetam
contraceptive,aduro a ɛsi nyinsɛn ano kwan
contraband,nneɛma a wɔkra no kwammɔne so
contract,nhyehyɛeɛ
contravene,bu mmara nhyehyɛeɛ so
contrary,ɛbɔ abira
contaminate,gu fi
contamination,figuo
contemn,di ho fɛw
contemporary,tipɛn
contemplate,dwene ho
contempt,animtiabuo
contend,di apereapere
content,bo dwo
construct,si
construe,nya nteaseɛ pɔtee bi
construction,ɛdan
consult,pɛ bisa mmoa firi
consultant,ɔfotufoɔ
consultation,nkutahodie
consume,di
consumptive,deɛ ɔyare ne koko
contagious,deɛ ɛsiane
consideration,adwennwene
consderate,deɛ ɔwɔ ahummɔborɔ
console,kyekye werɛ
conspicuous,deɛ ɛho da hɔ
constant,deɛ ɛnsesa
constellation,nsoromma akuoakuo
consternation,akomatuo
consecrate,te ho
consecration,adwira
constituency,abatoɔ mpasua
conscientious,deɛ n ani ku n adwumayɔ ho
conscious,ani da hɔ
consciousness,anidahɔ
consecutive,nnidisoɔ nnidisoɔ
consent,peneɛ
consensus,bɛnkorɔ mu
congratulate,ma amo
congratulation,mo ne yɔ
congress,nhyiamu
confirmation,nnyetom
congregate,hyia mu
conjure,kankye
connect,ka bom
confine,si ano trɛ
confirm,si so dua
connive,boa bɔne
conform,di mmara so
confront,ka anim
confuse,ma adwene yɛ naa
congeal,da
coronation,ahensie
corporal,asraafoɔ panin
corporate,deɛ ɛfa nnwumakuo ho
corporation,adwumakuo kɛseɛ
creator,ɔbɔadeɛ
countless,deɛ ɛnni ano
corridor,abrannaa
counterpart,nsɛsoɔ
country,ɔman
crime,bɔne
covenant,apam
creche,mmotafowa sukuu
credential,abɔdin krataa
crib,akɔkoaa mpa
crisis,asɛnkɛseɛ
dare,si bo yɛ
critic,ɔsamufoɔ
daring,deɛ n ani yɛ den
dark,tumm
date,ɛda
darkness,esum
darling,ɔdɔfoɔ
customer,ɔdetɔfoɔ
dart,ammirika ntɛntɛ
daylight,adekyeeɛ
dawdle,sɛe berɛ wɔ nanteɛ mu
daze,biri ani so
curve,deɛ ɛntene
custom,amanneɛ
cute,deɛ ne ho twa
cyclone,kyinhyiamframa
dabble,fa nsa nan hyɛ to bɔ nsuo mu
dagger,sekantia
dad,agya
daft,deɛ wagyimi
daily,daadaa
dainty,ketewa fɛɛfɛ
dam,nsuban
damage,sɛe
dame,abodin a wɔde ma mmaa
damn,dome
damp,deɛ afɔ kakra
dandruff,ɛhoa
dandy,ɔbarima a n ani wɔ n ahosiesie ho pa ara
danger,asiane
cumulate,boa ano
dangerous,deɛ ɛyɛ hu
cunning,deɛ ɔyɛ dadaafoɔ
curse,bɔ dua
cure,sa yareɛ
curious,deɛ ɔyɛ mfeefeemu
curiosity,asɛmpɛ
currency,sika
current,deɛ ɛwɔ soɔ
crown,ahenkyɛ
curtain,atwantam
curtail,brɛ ase
crook,deɛ obu afoforɔ
crooked,deɛ akoa
cross,mmeamu
crowd,ɛdɔm
crucial,deɛ ɛdi akotene
cub,gyataba
cud,mpuwesa
cuckoo,abuburo
cuddle,fam
culpable,deɛ ɔsɛ soboɔ
culprit,bɔneyɛfoɔ
cultivate,dɔ afuo
culture,amammerɛ
cultivation,kuayɛ
cumbersome,deɛ emu yɛ duru
crude,fango
crucify,bɔ asɛnnua mu
cruel,deɛ ne tirim yɛ den
cruelty,atirimuɔden
crumb,mporoporowa
credit,bosea
crumble,poroporo
crusade,ɔsatuo
crumple,moamoa
crush,sɛe
cryptic,deɛ ne nteaseɛ yɛ den
credible,deɛ gyedie wɔ mu
creed,gyedie
creep,wea
cremate,hye funu
cremation,afunhye
crematorium,beaeɛ a wɔhye funu
cover,bua so
coverlet,adasoɔ
covert,ahinta
craft,adwinnie
cowherd,nantwikafoɔ
covet,ma ani bere obi adeɛ
cow,nantwibaa
crazy,deɛ wabɔ dam
cowry,sedeɛ
cradle,akɔkoaa mpa
crack,pae
crafty,ɔdaadaafoɔ
crave,ma kɔn dɔ yie
crawl,wea
craze,biribi ho dam
cream,nku
creak,kasa
creation,adebɔ
creature,abɔdeɛ
countryman,temammuni
coupdetat,abantuguo
couple,awarefoɔ
courageous,deɛ ɔwɔ akokoɔduro
court,asɛnnibea
courtesy,obuo
counsel,afotuo
courteous,deɛ ɔbu adeɛ
corrupt,deɛ ɔde ne ho hyɛ porɔeɛ mu
cosmology,wiase mfitiaseɛ ho nimdeɛ
corruption,kɛtɛasehyɛ
cost,ɛboɔ
cot,nkwadaa mpa
correction,ateneatene
correspondence,nsɛsoɔ
cotton,asaawa
count,kan
corpse,efunu
countenance,anim
correct,deɛ ɛtene
correspond,ne obi di nkrataatwerɛ
corrode,hi
deceit,nnaadaa
